feature,target,top_minus_bottom_mean,n_low,n_high
company_neg_per_1000,ar3d,-0.03392649983841102,7,3
company_neg_per_1000,ar5d,-0.05244321313632993,7,3
company_neg_per_1000,vol20d,0.001994495289833916,6,3
company_unc_per_1000,ar3d,0.020457909255748072,3,5
company_unc_per_1000,ar5d,0.0451524458123638,3,5
company_unc_per_1000,vol20d,-0.00325618853215396,3,5
neg_per_1000,ar3d,-0.03392649983841102,7,3
neg_per_1000,ar5d,-0.05244321313632993,7,3
neg_per_1000,vol20d,0.001994495289833916,6,3
external_neg_per_1000,ar3d,-0.025839978079058256,7,3
external_neg_per_1000,ar5d,-0.0297313455077755,7,3
external_neg_per_1000,vol20d,-0.0009983897817265504,6,3
